ID,CRM_ID,NAME,GENDER,EMAIL_ADDRESS,PHONE_NUMBER,SOCIAL_SECURITY_NUMBER,STREET_ADDRESS,CITY,STATE,STATE_CODE,ZIP_CODE,EDUCATION,EMPLOYMENT_STATUS,MARITAL_STATUS,RESIDENCE,YRS_AT_CURRENT_ADDRESS,YRS_WITH_CURRENT_EMPLOYER,INCOME,NUMBER_OF_CARDS,CREDITCARD_DEBT,LOANS,CREDIT_SCORE
200011,C005011,Marion Jacobi,Male,marion.jacobi0011@samplemail.test,619-555-1011,999-21-1011,5462 Maple Road,Rancho Cucamonga,California,CA,91730,Bachelor,Unemployed,Single,Owner Occupier,19,19,43173.6,1,2161.73,0,662
200012,C005012,Roana Wiza,Male,roana.wiza0012@mortgage-demo.local,949-555-1012,999-22-1012,2954 Market Court,Orinda,California,CA,94563,Bachelor,Employed,Single,Private Renting,18,17,45614.16,1,10.98,2,850
200013,C005013,Isai Blackledge,Female,isai.blackledge0013@samplemail.test,626-555-1013,999-23-1013,2713 River Avenue,Tahoe City,California,CA,96145,High School or Below,Unemployed,Married,Owner Occupier,9,5,45722.58,2,981.99,0,547
200014,C005014,Abramo Boyland,Male,abramo.boyland0014@syntheticmail.test,714-555-1014,999-24-1014,7565 Sunset Boulevard,Sacramento,California,CA,95814,High School or Below,Employed,Married,Public Housing,11,29,51198.61,2,364.32,1,818
200015,C005015,Ola McGlynn,Female,ola.mcglynn0015@syntheticmail.test,213-555-1015,999-25-1015,8411 Cedar Boulevard,San Jose,California,CA,47737,Bachelor,Employed,Married,Private Renting,8,11,50175.83,1,1108.22,1,511
200016,C005016,Wilie Armstrong,Female,wilie.armstrong0016@mortgage-demo.local,510-555-1016,999-26-1016,2393 Cedar Avenue,La Mirada,California,CA,90638,Bachelor,Disabled,Married,Owner Occupier,20,15,44849.14,1,2588.96,0,423
200017,C005017,Evangeline Bayles,Male,evangeline.bayles0017@samplemail.test,213-555-1017,999-27-1017,6879 Pine Way,San Francisco,California,CA,39967,Bachelor,Unemployed,Single,Public Housing,8,12,48911.05,1,1131.56,1,562
200018,C005018,Essy Errington,Male,essy.errington0018@example.com,714-555-1018,999-28-1018,8577 Lincoln Street,Concord,California,CA,94520,Bachelor,Unemployed,Single,Owner Occupier,12,26,56616.93,1,10152.89,0,783
200019,C005019,Genevieve Waggatt,Female,genevieve.waggatt0019@mortgage-demo.local,714-555-1019,999-29-1019,2186 Oak Court,Vacaville,California,CA,48647,College,Unemployed,Single,Owner Occupier,15,13,52408.65,2,1453.83,0,702
200020,C005020,Maximillian Mayert,Female,maximillian.mayert0020@samplemail.test,714-555-1020,999-30-1020,687 Lincoln Drive,Palm Springs,California,CA,92262,Bachelor,Employed,Divorced,Public Housing,26,17,58204.51,2,2362.52,0,499
200021,C005021,Charles Dicki,Female,charles.dicki0021@syntheticmail.test,916-555-1021,999-31-1021,5555 Cedar Way,San Francisco,California,CA,94105,Bachelor,Retired,Divorced,Public Housing,5,8,50381.74,1,471.18,2,819
200022,C005022,Flossie Crosetti,Male,flossie.crosetti0022@mortgage-demo.local,310-555-1022,999-32-1022,5022 River Boulevard,San Jose,California,CA,95122,Bachelor,Employed,Married,Owner Occupier,27,13,54711.92,2,3098.72,0,786
200023,C005023,Kelvin Armstrong,Male,kelvin.armstrong0023@samplemail.test,202-555-1023,999-33-1023,511 Cedar Way,Vacaville,California,CA,95687,College,Unemployed,Single,Owner Occupier,11,12,42152.01,3,541.55,0,501
200024,C005024,Daryl Everiss,Female,daryl.everiss0024@samplemail.test,619-555-1024,999-34-1024,8675 Lincoln Boulevard,Dana Point,California,CA,92629,High School or Below,Unemployed,Married,Private Renting,0,12,43446.28,1,363.83,1,638
200025,C005025,Effie Powlowski,Male,effie.powlowski0025@samplemail.test,650-555-1025,999-35-1025,2010 Cedar Street,Torrance,California,CA,41697,Bachelor,Employed,Married,Owner Occupier,10,12,49431.16,2,1175.01,1,560
200026,C005026,Kelvin Grimm,Male,kelvin.grimm0026@samplemail.test,213-555-1026,999-36-1026,5923 Vista Lane,Hayward,California,CA,45626,Doctor,Employed,Married,Private Renting,11,11,46223.52,2,1463.88,1,725
200027,C005027,Evangeline Everiss,Female,evangeline.everiss0027@syntheticmail.test,310-555-1027,999-37-1027,6709 Pine Street,Huntington Beach,California,CA,92648,Bachelor,Unemployed,Divorced,Owner Occupier,6,4,44880.39,2,950.72,1,789
200028,C005028,Maximillian Hessel,Male,maximillian.hessel0028@example.com,510-555-1028,999-38-1028,2035 Vista Road,Norwalk,California,CA,45949,College,Employed,Divorced,Public Housing,13,9,48447.18,2,1094.22,1,637
200029,C005029,Laurine Danaher,Male,laurine.danaher0029@example.com,310-555-1029,999-39-1029,8235 Cedar Road,Fullerton,California,CA,43310,Doctor,Employed,Married,Private Renting,12,14,50154.4,2,1193.73,1,545
200030,C005030,Jalyn Gladdolph,Female,jalyn.gladdolph0030@example.com,818-555-1030,999-40-1030,8160 Vista Drive,Truckee,California,CA,96161,College,Unemployed,Single,Public Housing,22,7,55944.47,2,2581.1,0,815
200031,C005031,Marcelo Marquardt,Male,marcelo.marquardt0031@mortgage-demo.local,714-555-1031,999-41-1031,6533 Cedar Court,Newport,California,CA,41521,College,Medical Leave,Single,Public Housing,12,11,49948.1,2,974.87,1,585
200032,C005032,Joanny Lutwyche,Female,joanny.lutwyche0032@mortgage-demo.local,949-555-1032,999-42-1032,9465 Lincoln Lane,San Lorenzo,California,CA,47562,High School or Below,Employed,Married,Owner Occupier,18,14,49007.46,3,1378.37,1,576
200033,C005033,Essy Hoeger,Female,essy.hoeger0033@syntheticmail.test,213-555-1033,999-43-1033,4682 Vista Avenue,Fullerton,California,CA,92635,Doctor,Employed,Married,Private Renting,24,21,42240.3,1,2835.76,0,764
200034,C005034,Griff Rolfson,Female,griff.rolfson0034@mortgage-demo.local,626-555-1034,999-44-1034,1947 Cedar Street,San Leandro,California,CA,50465,College,Employed,Married,Owner Occupier,11,12,51137.5,2,1426.81,0,778
200035,C005035,Loma Pouros,Male,loma.pouros0035@samplemail.test,310-555-1035,999-45-1035,5374 Pine Court,Rancho Cucamonga,California,CA,91730,Bachelor,Unemployed,Single,Owner Occupier,20,18,46879.54,2,1887.27,1,658
200036,C005036,Claudia Whitley,Female,claudia.whitley0036@syntheticmail.test,805-555-1036,999-46-1036,9564 Sunset Avenue,San Francisco,California,CA,94105,Bachelor,Retired,Divorced,Public Housing,7,8,51684.76,1,98.48,1,803
200037,C005037,Mariane Gutkowski,Male,mariane.gutkowski0037@samplemail.test,626-555-1037,999-47-1037,311 River Court,Studio City,California,CA,49849,Doctor,Employed,Single,Living with parents/guardian,9,14,46348.34,2,1318.71,0,715
200038,C005038,Darill Bergstrom,Female,darill.bergstrom0038@syntheticmail.test,310-555-1038,999-48-1038,8610 Hillcrest Court,Freedom,California,CA,43427,College,Employed,Married,Owner Occupier,11,11,48156.75,2,1021.86,1,505
200039,C005039,Sydnee Lergan,Male,sydnee.lergan0039@mortgage-demo.local,619-555-1039,999-49-1039,4736 Market Way,Santa Maria,California,CA,49995,High School or Below,Unemployed,Single,Public Housing,10,8,46300.15,2,1378.92,1,758
200040,C005040,Maryjane Crist,Male,maryjane.crist0040@mortgage-demo.local,619-555-1040,999-50-1040,690 Sunset Street,San Jose,California,CA,95124,Bachelor,Employed,Married,Owner Occupier,24,14,58235.91,3,1858.98,1,694
200041,C005041,Galven Zulauf,Male,galven.zulauf0041@syntheticmail.test,818-555-1041,999-51-1041,5412 River Street,San Francisco,California,CA,52253,Bachelor,Unemployed,Single,Public Housing,13,12,49509.01,1,1862.02,1,587
200042,C005042,Carmine Ratke,Male,carmine.ratke0042@example.com,310-555-1042,999-52-1042,9407 Market Avenue,Encino,California,CA,91316,Bachelor,Unemployed,Married,Owner Occupier,3,7,57466.74,1,576.3,1,790
200043,C005043,Othilia Augie,Female,othilia.augie0043@syntheticmail.test,510-555-1043,999-53-1043,2199 Vista Way,San Jose,California,CA,44688,College,Employed,Divorced,Private Renting,11,13,50735.63,1,1277.25,1,803
200044,C005044,Buck Fisher,Male,buck.fisher0044@syntheticmail.test,213-555-1044,999-54-1044,7008 Vista Court,Healdsburg,California,CA,43104,College,Unemployed,Married,Public Housing,11,8,48834.66,2,1314.41,1,577
200045,C005045,Ansley Schaden,Male,ansley.schaden0045@example.com,310-555-1045,999-55-1045,1937 River Drive,San Francisco,California,CA,37357,Bachelor,Employed,Married,Owner Occupier,13,13,51152.61,1,1022.69,1,663
200046,C005046,Winona Bernhard,Male,winona.bernhard0046@mortgage-demo.local,949-555-1046,999-56-1046,6814 Vista Way,San Francisco,California,CA,37357,Bachelor,Employed,Married,Owner Occupier,12,18,50723.43,3,967.8,1,679
200047,C005047,Oswald Powlowski,Male,oswald.powlowski0047@syntheticmail.test,213-555-1047,999-57-1047,1905 Market Way,San Jose,California,CA,41374,Bachelor,Employed,Married,Owner Occupier,11,13,48040.67,2,1000.54,1,498
200048,C005048,Mal Peacham,Female,mal.peacham0048@samplemail.test,626-555-1048,999-58-1048,9476 Maple Avenue,San Jose,California,CA,38823,College,Employed,Married,Public Housing,7,13,48684.4,1,928.14,2,532
200049,C005049,Rachel Labadie,Female,rachel.labadie0049@syntheticmail.test,818-555-1049,999-59-1049,6155 Maple Road,Palm Springs,California,CA,43368,Bachelor,Employed,Divorced,Public Housing,12,12,53113.53,3,1224.2,1,594
200050,C005050,Wes Vincent,Female,wes.vincent0050@syntheticmail.test,619-555-1050,999-60-1050,3763 Market Way,Rancho Cucamonga,California,CA,39116,Bachelor,Unemployed,Single,Owner Occupier,13,10,46114.19,2,1238.76,2,769
200051,C005051,Xavier Consadine,Female,xavier.consadine0051@example.com,650-555-1051,999-61-1051,4010 Oak Boulevard,Freedom,California,CA,95019,College,Employed,Married,Owner Occupier,14,25,47880.62,1,5084.33,0,631
200052,C005052,Ima Harvey,Male,ima.harvey0052@samplemail.test,202-555-1052,999-62-1052,6776 Sunset Drive,Los Angeles,California,CA,51168,High School or Below,Unemployed,Married,Private Renting,13,17,48589.86,2,1500.53,1,841
200053,C005053,Gino Mayert,Female,gino.mayert0053@syntheticmail.test,916-555-1053,999-63-1053,3949 Market Drive,San Lorenzo,California,CA,47562,High School or Below,Employed,Married,Owner Occupier,11,12,47584.4,3,1250.16,2,631
200054,C005054,Lelia Peacham,Male,lelia.peacham0054@samplemail.test,818-555-1054,999-64-1054,845 Sunset Boulevard,Fontana,California,CA,43925,Doctor,Employed,Single,Public Housing,11,14,47476.0,1,890.9,2,714
200055,C005055,Emelda Kozey,Female,emelda.kozey0055@example.com,626-555-1055,999-65-1055,7847 Market Lane,Stockton,California,CA,95202,Bachelor,Employed,Married,Owner Occupier,13,16,45815.52,1,648.53,1,764
200056,C005056,Kaine Danaher,Female,kaine.danaher0056@syntheticmail.test,619-555-1056,999-66-1056,5247 Market Court,Los Angeles,California,CA,38882,High School or Below,Unemployed,Married,Private Renting,11,15,47947.6,3,1112.88,2,691
200057,C005057,Leonor Hanburry,Male,leonor.hanburry0057@mortgage-demo.local,650-555-1057,999-67-1057,4217 River Way,San Diego,California,CA,52195,College,Unemployed,Single,Owner Occupier,10,12,50668.78,2,1298.14,2,528
200058,C005058,Ahmad Lahy,Male,ahmad.lahy0058@example.com,213-555-1058,999-68-1058,6757 Cedar Lane,Goleta,California,CA,93117,Bachelor,Unemployed,Married,Private Renting,35,16,57759.76,1,502.27,0,850
200059,C005059,Tiffanie Boij,Male,tiffanie.boij0059@mortgage-demo.local,949-555-1059,999-69-1059,281 Vista Boulevard,Van Nuys,California,CA,47474,Master,Unemployed,Married,Private Renting,10,12,49271.27,3,1549.05,0,659
200060,C005060,Joanny Bogisich,Male,joanny.bogisich0060@samplemail.test,818-555-1060,999-70-1060,3701 Sunset Street,Hayward,California,CA,45626,Doctor,Employed,Married,Private Renting,9,16,48674.85,1,1195.55,1,711
200061,C005061,Hollis Connelly,Male,hollis.connelly0061@samplemail.test,510-555-1061,999-71-1061,3464 Pine Way,Torrance,California,CA,41697,Bachelor,Employed,Married,Owner Occupier,10,14,47616.43,2,1260.45,0,536
200062,C005062,Jordi Howell,Male,jordi.howell0062@samplemail.test,626-555-1062,999-72-1062,9285 Hillcrest Court,Aptos,California,CA,37210,College,Employed,Single,Private Renting,8,18,47050.9,2,1182.38,2,707
200063,C005063,Evangeline Baumbach,Male,evangeline.baumbach0063@syntheticmail.test,714-555-1063,999-73-1063,8039 Market Court,Woodland Hills,California,CA,40993,Master,Disabled,Divorced,Owner Occupier,9,13,44277.5,3,1158.11,1,560
200064,C005064,Cordell Schaden,Female,cordell.schaden0064@samplemail.test,213-555-1064,999-74-1064,6384 Lincoln Court,San Diego,California,CA,92101,College,Unemployed,Single,Private Renting,32,14,53554.81,1,1023.0,0,774
200065,C005065,Carmine Stonestreet,Male,carmine.stonestreet0065@mortgage-demo.local,626-555-1065,999-75-1065,6312 Oak Drive,Chatsworth,California,CA,91311,College,Employed,Married,Private Renting,7,8,40678.33,1,761.65,1,596
200066,C005066,Barnie Crist,Female,barnie.crist0066@syntheticmail.test,650-555-1066,999-76-1066,4522 Hillcrest Drive,Sacramento,California,CA,95821,Bachelor,Employed,Married,Owner Occupier,0,16,53720.39,1,2350.62,1,455
200067,C005067,Bertram Pilgram,Male,bertram.pilgram0067@samplemail.test,650-555-1067,999-77-1067,4923 Lincoln Lane,Chatsworth,California,CA,52048,College,Employed,Married,Private Renting,12,14,51409.73,3,1419.95,1,566
200068,C005068,Othilia Davis,Female,othilia.davis0068@example.com,818-555-1068,999-78-1068,9239 Market Road,Orinda,California,CA,94563,Master,Unemployed,Single,Private Renting,22,10,49561.0,2,676.98,1,792
200069,C005069,Audie Butrimovich,Female,audie.butrimovich0069@mortgage-demo.local,213-555-1069,999-79-1069,2526 Hillcrest Boulevard,Yorba Linda,California,CA,42899,Bachelor,Employed,Married,Public Housing,15,13,50887.42,3,1174.51,2,529
200070,C005070,Jamal Zulauf,Male,jamal.zulauf0070@mortgage-demo.local,805-555-1070,999-80-1070,2726 Pine Avenue,San Francisco,California,CA,44453,Bachelor,Retired,Divorced,Owner Occupier,11,12,46117.72,2,1108.79,0,512
200071,C005071,Gus Stehr,Male,gus.stehr0071@example.com,213-555-1071,999-81-1071,4841 Hillcrest Street,San Francisco,California,CA,37357,Bachelor,Employed,Married,Owner Occupier,10,13,49784.12,3,1080.4,1,641
200072,C005072,Maryjane Bernhard,Male,maryjane.bernhard0072@example.com,818-555-1072,999-82-1072,371 Lincoln Street,Fontana,California,CA,43925,Doctor,Employed,Single,Public Housing,14,15,50660.88,3,1110.29,1,717
200073,C005073,Buck Crosetti,Male,buck.crosetti0073@samplemail.test,626-555-1073,999-83-1073,7366 Pine Boulevard,Fullerton,California,CA,43310,Doctor,Employed,Married,Private Renting,14,13,49474.29,3,1313.94,2,554
200074,C005074,Penny Bergstrom,Male,penny.bergstrom0074@syntheticmail.test,805-555-1074,999-84-1074,8647 Lincoln Boulevard,Alhambra,California,CA,91801,High School or Below,Employed,Single,Owner Occupier,3,2,52138.42,2,5.31,0,454
200075,C005075,Magnum Cronin,Female,magnum.cronin0075@samplemail.test,626-555-1075,999-85-1075,6117 Cedar Boulevard,San Francisco,California,CA,94105,Bachelor,Retired,Divorced,Public Housing,8,8,48419.17,1,457.96,1,797
200076,C005076,Evangeline Dunnett,Female,evangeline.dunnett0076@syntheticmail.test,650-555-1076,999-86-1076,879 Lincoln Avenue,South Lake Tahoe,California,CA,41990,High School or Below,Unemployed,Married,Private Renting,4,5,48542.53,2,1124.65,2,490
200077,C005077,Isai Crist,Female,isai.crist0077@mortgage-demo.local,714-555-1077,999-87-1077,2756 River Way,Encino,California,CA,46330,Bachelor,Unemployed,Married,Private Renting,14,11,50957.16,1,1291.2,1,488
200078,C005078,Buck Feil,Male,buck.feil0078@samplemail.test,510-555-1078,999-88-1078,4878 Oak Way,West Hills,California,CA,91307,High School or Below,Unemployed,Single,Owner Occupier,15,24,45498.22,2,4875.62,0,547
200079,C005079,Florence Gleason,Female,florence.gleason0079@samplemail.test,714-555-1079,999-89-1079,973 Pine Court,Rancho Cucamonga,California,CA,39116,Bachelor,Unemployed,Single,Owner Occupier,7,15,49690.43,3,1046.6,1,695
200080,C005080,Any Pays,Male,any.pays0080@example.com,415-555-1080,999-10-1080,4544 Cedar Road,Newport Beach,California,CA,38559,Bachelor,Employed,Single,Owner Occupier,14,12,47258.82,1,1271.94,1,741
200081,C005081,Hayley Powlowski,Male,hayley.powlowski0081@mortgage-demo.local,805-555-1081,999-11-1081,7450 River Court,Fontana,California,CA,43925,Doctor,Employed,Single,Public Housing,14,10,49172.75,1,1030.23,2,717
200082,C005082,Norris Kulas,Male,norris.kulas0082@mortgage-demo.local,805-555-1082,999-12-1082,8968 Pine Road,Alhambra,California,CA,91801,High School or Below,Employed,Single,Owner Occupier,0,7,50543.62,2,0.0,1,446
200083,C005083,Kurtis Fidilis,Female,kurtis.fidilis0083@mortgage-demo.local,818-555-1083,999-13-1083,2605 Sunset Street,Tahoe City,California,CA,96145,High School or Below,Unemployed,Married,Owner Occupier,8,0,46955.26,3,1037.91,0,610
200084,C005084,Joellyn MacGinlay,Male,joellyn.macginlay0084@example.com,310-555-1084,999-14-1084,3497 River Street,Sacramento,California,CA,95814,High School or Below,Employed,Married,Public Housing,10,27,55163.04,1,334.07,2,850
200085,C005085,Gayler Boyland,Male,gayler.boyland0085@samplemail.test,213-555-1085,999-15-1085,6271 Cedar Road,Los Angeles,California,CA,90045,High School or Below,Unemployed,Married,Owner Occupier,12,10,48518.1,1,591.59,0,827
200086,C005086,Kandy Boij,Male,kandy.boij0086@example.com,626-555-1086,999-16-1086,9660 Hillcrest Court,West Hills,California,CA,37093,High School or Below,Unemployed,Single,Private Renting,11,9,49905.74,3,968.52,1,709
200087,C005087,Evangeline Powlowski,Female,evangeline.powlowski0087@syntheticmail.test,650-555-1087,999-17-1087,4843 Oak Lane,Orinda,California,CA,94563,Master,Unemployed,Single,Private Renting,21,10,49358.96,1,620.9,1,783
200088,C005088,Buck Abshire,Female,buck.abshire0088@mortgage-demo.local,949-555-1088,999-18-1088,8952 Cedar Way,Sacramento,California,CA,95821,Bachelor,Employed,Married,Owner Occupier,7,15,50292.66,1,1546.92,2,445
200089,C005089,Shelley Reaveley,Male,shelley.reaveley0089@samplemail.test,213-555-1089,999-19-1089,4547 Maple Drive,Carson,California,CA,39380,Bachelor,Employed,Married,Owner Occupier,8,11,50354.13,3,1151.95,2,710
200090,C005090,Roosevelt Walter,Female,roosevelt.walter0090@syntheticmail.test,510-555-1090,999-20-1090,1901 River Avenue,San Jose,California,CA,38823,College,Employed,Married,Public Housing,11,11,47606.06,3,953.26,1,464
200091,C005091,Wes Wisoky,Male,wes.wisoky0091@example.com,714-555-1091,999-21-1091,5489 Hillcrest Drive,Hayward,California,CA,45626,Doctor,Employed,Married,Private Renting,11,13,48222.75,2,1074.88,1,668
200092,C005092,Mariane Dunnett,Female,mariane.dunnett0092@example.com,202-555-1092,999-22-1092,3743 Vista Avenue,Carson,California,CA,90749,Bachelor,Employed,Married,Owner Occupier,11,6,42824.78,1,1279.38,0,773
200093,C005093,Buck Cummerata,Male,buck.cummerata0093@mortgage-demo.local,213-555-1093,999-23-1093,4445 Maple Court,Alhambra,California,CA,46770,High School or Below,Employed,Single,Private Renting,10,15,47206.85,3,1376.05,1,601
200094,C005094,Ford Vincent,Female,ford.vincent0094@mortgage-demo.local,916-555-1094,999-24-1094,3288 Sunset Drive,San Jose,California,CA,48705,Master,Unemployed,Married,Living with parents/guardian,16,9,47373.49,2,1445.19,1,586
200095,C005095,Lelia Towne,Male,lelia.towne0095@example.com,916-555-1095,999-25-1095,5489 Oak Boulevard,Los Angeles,California,CA,38148,High School or Below,Employed,Married,Living with parents/guardian,9,13,47400.37,3,978.06,0,743
200096,C005096,Daryl Bergstrom,Male,daryl.bergstrom0096@syntheticmail.test,805-555-1096,999-26-1096,6103 River Street,Orinda,California,CA,94563,Bachelor,Employed,Single,Private Renting,21,21,44451.2,1,182.54,0,844
200097,C005097,Genevieve Ping,Male,genevieve.ping0097@example.com,310-555-1097,999-27-1097,3322 Cedar Street,Clovis,California,CA,93611,Master,Unemployed,Single,Owner Occupier,15,14,43439.29,3,9.55,0,783
200098,C005098,Landen Harman,Male,landen.harman0098@mortgage-demo.local,619-555-1098,999-28-1098,9885 Oak Lane,Clovis,California,CA,50025,Master,Unemployed,Single,Owner Occupier,13,14,52139.53,2,1280.69,0,554
200099,C005099,Norris Powlowski,Male,norris.powlowski0099@samplemail.test,949-555-1099,999-29-1099,1990 Oak Avenue,Fontana,California,CA,92335,Doctor,Employed,Single,Owner Occupier,4,9,45634.54,1,1220.28,0,657
200100,C005100,Maegan Baggally,Male,maegan.baggally0100@syntheticmail.test,213-555-1100,999-30-1100,2111 Maple Court,Los Angeles,California,CA,90045,High School or Below,Unemployed,Married,Owner Occupier,9,7,45006.51,1,639.33,0,806
200101,C005101,Lelia Fidilis,Male,lelia.fidilis0101@example.com,626-555-1101,999-31-1101,4027 Sunset Way,Aptos,California,CA,37210,College,Employed,Single,Private Renting,12,14,50292.99,2,1196.12,1,742
200102,C005102,Zoey Funk,Female,zoey.funk0102@syntheticmail.test,626-555-1102,999-32-1102,5637 Pine Court,San Lorenzo,California,CA,94580,High School or Below,Employed,Married,Owner Occupier,8,18,54744.98,1,2911.84,1,835
200103,C005103,Bernelle Butrimovich,Male,bernelle.butrimovich0103@mortgage-demo.local,805-555-1103,999-33-1103,8744 Oak Lane,Long Beach,California,CA,90815,College,Employed,Married,Public Housing,22,0,51393.55,1,114.36,1,802
200104,C005104,Ahmad Mayert,Female,ahmad.mayert0104@syntheticmail.test,650-555-1104,999-34-1104,8883 Sunset Road,San Francisco,California,CA,94103,Bachelor,Unemployed,Single,Owner Occupier,3,14,44642.95,2,888.01,1,641
200105,C005105,Norris Peacham,Female,norris.peacham0105@samplemail.test,213-555-1105,999-35-1105,1818 Vista Court,Aptos,California,CA,49497,College,Employed,Single,Private Renting,11,15,48974.64,2,1557.46,0,767
200106,C005106,Antone Reaveley,Male,antone.reaveley0106@mortgage-demo.local,626-555-1106,999-36-1106,3658 Pine Road,Rancho Cucamonga,California,CA,91730,Bachelor,Unemployed,Single,Owner Occupier,24,16,46250.29,2,2208.15,0,692
200107,C005107,Gilbert Dory,Female,gilbert.dory0107@syntheticmail.test,415-555-1107,999-37-1107,2305 Lincoln Street,Newport,California,CA,92657,College,Medical Leave,Single,Public Housing,11,15,43674.35,1,6139.46,0,511
200108,C005108,Galven Lindgren,Female,galven.lindgren0108@mortgage-demo.local,202-555-1108,999-38-1108,4206 Maple Avenue,Palm Springs,California,CA,43368,Bachelor,Employed,Divorced,Public Housing,11,10,48536.89,1,986.99,1,489
200109,C005109,Alexane Deckow,Female,alexane.deckow0109@example.com,510-555-1109,999-39-1109,4832 Oak Court,San Francisco,California,CA,94103,Bachelor,Unemployed,Single,Owner Occupier,2,10,48467.27,2,747.88,1,676
200110,C005110,Justyn Lergan,Male,justyn.lergan0110@syntheticmail.test,619-555-1110,999-40-1110,2574 Oak Street,Clovis,California,CA,50025,Master,Unemployed,Single,Owner Occupier,13,11,49278.29,3,1536.52,0,524
200111,C005111,Beverlee Kleingrub,Male,beverlee.kleingrub0111@example.com,415-555-1111,999-41-1111,4826 Pine Way,Los Angeles,California,CA,50435,High School or Below,Employed,Married,Living with parents/guardian,14,15,47900.04,3,1201.49,1,746
200112,C005112,Dalia Bergstrom,Female,dalia.bergstrom0112@samplemail.test,310-555-1112,999-42-1112,6079 Hillcrest Court,Chino Hills,California,CA,38031,Master,Employed,Divorced,Owner Occupier,10,15,49839.84,3,1118.49,1,727
200113,C005113,Leonor Rolfson,Male,leonor.rolfson0113@syntheticmail.test,650-555-1113,999-43-1113,8774 River Lane,San Francisco,California,CA,44453,Bachelor,Retired,Divorced,Owner Occupier,15,14,47688.17,3,1317.15,1,594
200114,C005114,Kariane Davis,Male,kariane.davis0114@samplemail.test,202-555-1114,999-44-1114,3472 Market Road,Newport,California,CA,41521,College,Medical Leave,Single,Public Housing,12,9,50541.13,2,1360.14,0,539
200115,C005115,Kariane Schmeler,Female,kariane.schmeler0115@example.com,213-555-1115,999-45-1115,9627 Vista Boulevard,San Jose,California,CA,51110,College,Employed,Married,Public Housing,16,13,49771.01,3,1807.45,1,731
200116,C005116,Tiffanie Isenor,Female,tiffanie.isenor0116@syntheticmail.test,202-555-1116,999-46-1116,9373 Pine Way,San Jose,California,CA,44688,College,Employed,Divorced,Private Renting,15,15,48259.11,2,1094.45,1,721
200117,C005117,Xavier Petruk,Female,xavier.petruk0117@mortgage-demo.local,916-555-1117,999-47-1117,5095 Sunset Way,Hayward,California,CA,94541,Doctor,Employed,Married,Private Renting,20,8,47268.19,2,221.68,1,514
200118,C005118,Emiliano Ping,Female,emiliano.ping0118@syntheticmail.test,202-555-1118,999-48-1118,7938 Vista Court,Chino Hills,California,CA,38031,Master,Employed,Divorced,Owner Occupier,11,10,52051.35,1,990.95,1,664
